type_lieu;identifiant;nom;url;Distill
piscine;S6914;Bassin de natation;https://www.aquavert.fr/parc-et-activites/espace-aquatique/;
piscine;S4747;Centre Aquatique Camille Muffat;https://www.decines-charpieu.fr/183-l-equipement.htm;
piscine;S5233;Centre Aquatique Les Vagues;www.les-vagues.com;
piscine;S3391;Centre Nautique de Chassieu;https://www.chassieu.fr/mes-activites-et-sorties/le-centre-nautique/;
piscine;S3736;Centre Nautique E.Gagnaire;https://www.villeurbanne.fr/annuaire#ficheannuaire-4281;
piscine;S3908;Centre Nautique Intercommunal;https://resa-centre-nautique.fr/horaires/;
piscine;S3692;Centre Nautique Mendès-France;https://ville-saint-priest.fr/sortir/sport/centre-nautique/centre-nautique-horaires/;
piscine;S3781;Centre Nautique Tony Bertrand;https://www.lyon.fr/lieu/piscines-ete/centre-nautique-tony-bertrand-ex-piscine-du-rhone;
piscine;S3359;Centre Nautique André Sousi;https://www.ville-bron.fr/culture-sport-mes-loisirs/envie-de-sport/centre-nautique-andre-sousi-bienvenue-au-grand-bleu;
piscine;S7436;ENTPE Piscine;https://www.entpe.fr/;
piscine;S5029;Espace Nautique;https://www.givors.fr/sports-loisirs-associations/centrenautique/;
piscine;S7001;Lyon Plage;https://www.lyon-plage.com/fr/informations-pratiques.html;
piscine;S3378;Piscine;https://www.ville-feyzin.fr/je-veux/faire-du-sport-et-sortir-a-feyzin/piscine-d-ete;
piscine;S7672;Piscine Origami;https://piscine-origami.fr;
piscine;S3737;Piscine André Boulloche;https://www.villeurbanne.fr/annuaire#ficheannuaire-4280;
piscine;S3907;Piscine Auguste Delaune;https://venissieux.fr/blog/projet/future-piscine-auguste-delaune/;
piscine;S3782;Piscine Benjamin Delessert;https://www.lyon.fr/lieu/piscines-hiver/piscine-benjamin-delessert-hiver;
piscine;S7705;Piscine Caneton;https://www.guide-piscine.fr/rhone/piscine-caneton-a-saint-priest-2068_P;
piscine;S7220;Piscine Charial;https://www.lyon.fr/lieu/piscines-hiver/piscine-charial-hiver;
piscine;S3780;Piscine de Gerland 1;https://www.ucpa.com/aqua-stadium/lyon/piscine;
piscine;S3767;Piscine de Saint-Exupéry;https://www.lyon.fr/lieu/piscines-hiver/piscine-saint-exupery-hiver;
piscine;S3738;Piscine des Gratte-Ciel;https://www.villeurbanne.fr/annuaire#ficheannuaire-4279;
piscine;S3930;Piscine d'été de la Duchère;https://www.lyon.fr/lieu/piscines-ete/piscine-de-la-duchere-ete;
piscine;S3812;Piscine d'été Jean Mermoz;https://www.lyon.fr/lieu/piscines-ete/piscine-jean-mermoz-ete;
piscine;S3942;Piscine d'hiver de Vaise;https://www.lyon.fr/lieu/piscines-ete/piscine-de-vaise-ete-hiver;
piscine;S3379;Piscine Garibaldi;https://www.lyon.fr/lieu/piscines-hiver/piscine-garibaldi-hiver;
piscine;S3371;Piscine Intercommunale;http://www.charbonnieres.com/culture-sport-et-associations/piscine-intercommunale;
piscine;S5601;Piscine Isabelle Jouffroy;http://www.ville-caluire.fr/content/piscine-municipale-isabelle-jouffroy;
piscine;S3368;Piscine Le Kubdo;https://www.saintefoyleslyon.fr/sorties-loisirs/sports/piscine-kubdo/;
piscine;S3838;Piscine municipale;https://www.ecully.fr/mes-loisirs/sports/piscine-337.html;
piscine;S3858;Piscine municipale;http://www.oullins.fr/sorties-activites/sports-et-loisirs/piscine-municipale-358.html;
piscine;S3514;Piscine municipale;http://www.irigny.fr/Piscine;
piscine;S3365;Piscine l’Ammonite;https://www.lamulatiere.fr/Liste+des+&eacute;
piscine;S3625;Piscine Tronchet;https://www.lyon.fr/lieu/piscines-hiver/piscine-tronchet-hiver;
mairie;S1324;Mairie d'Albigny-Sur-Saône;https://www.mairie-albignysursaone.fr/;
mairie;S1326;Mairie de Bron;https://www.ville-bron.fr/horaires-douverture;data@grandlyon.com
mairie;S1328;Mairie de Cailloux-sur-Fontaines;https://www.mairie-caillouxsurfontaines.fr/systeme/horaires/;data@grandlyon.com
mairie;S1337;Hôtel de Ville de Caluire-et-Cuire;https://www.ville-caluire.fr/;data@grandlyon.com
mairie;S1338;Mairie de Champagne-au-Mont-d'Or;https://www.mairiedechampagne.fr/;data@grandlyon.com
mairie;S1340;Mairie de Charbonnières-les-Bains;https://www.charbonnieres.com/;data@grandlyon.com
mairie;S1343;Mairie de Chassieu;https://www.chassieu.fr/contactez-nous/;data@grandlyon.com
mairie;S1345;Mairie de Collonges-au-Mont-d'Or;https://www.collongesaumontdor.fr/ma-commune/services-municipaux/mairie/;data@grandlyon.com
mairie;S1348;Mairie de Corbas;https://corbas.fr/ma-mairie/la-mairie/infos-pratiques/;data@grandlyon.com
mairie;S1350;Mairie de Couzon-au-Mont-d'Or;http://integration.couzonaumontdor.fr/ma-mairie/coordonnees-mairie-services-municipaux/;data@grandlyon.com
mairie;S1351;Mairie de Craponne;https://www.mairie-craponne.fr/-1.html;data@grandlyon.com
mairie;S1353;Mairie de Curis-au-Mont-d'Or;https://www.curis.fr/;data@grandlyon.com
mairie;S1359;Mairie de Dardilly;https://www.dardilly.fr/;data@grandlyon.com
mairie;S1360;Mairie de Décines-Charpieu;https://www.decines-charpieu.fr/824-horaires-d-ouverture.htm#par12428;data@grandlyon.com
mairie;S1361;Mairie d'Ecully;https://www.ecully.fr/-1.html;data@grandlyon.com
mairie;S1363;Mairie de Fleurieu-sur-Saône;https://www.mairie-fleurieusursaone.fr;data@grandlyon.com
mairie;S1365;Mairie de Feyzin;https://www.ville-feyzin.fr/la-mairie/les-seances-du-conseil;data@grandlyon.com
mairie;S1366;Mairie de Fontaines-Saint-Martin;http://www.fontaines-saint-martin.fr/;data@grandlyon.com
mairie;S1368;Mairie de Fontaines-sur-Saône;https://www.fontaines-sur-saone.fr/vie-municipale/la-mairie/services-municipaux/;data@grandlyon.com
mairie;S1370;Mairie de Francheville;https://www.mairie-francheville69.fr/;data@grandlyon.com
mairie;S1371;Mairie de Genay;https://www.villedegenay.com/;data@grandlyon.com
mairie;S1373;Mairie d'Irigny;https://www.irigny.fr/;data@grandlyon.com
mairie;S1374;Mairie de Jonage;https://www.mairiedejonage.com/;data@grandlyon.com
mairie;S1376;Mairie de La Mulatière;https://www.lamulatiere.fr;data@grandlyon.com
mairie;S1379;Mairie de La Tour-de-Salvagny;https://www.salvagny.org;data@grandlyon.com
mairie;S1384;Mairie de Marcy l'Etoile;https://www.marcyletoile.fr/services-municipaux/;data@grandlyon.com
mairie;S1387;Hôtel de Ville de Meyzieu;https://www.meyzieu.fr/accueil;data@grandlyon.com
mairie;S1391;Mairie de Mions;https://www.mions.fr/les-services-municipaux/;lvidaller@grandlyon.com
mairie;S1392;Mairie de Montanay;https://www.commune-montanay.fr/vie-municipale/votre-mairie/horaires/;lvidaller@grandlyon.com
mairie;S1393;Mairie de Neuville-sur-Saône;https://www.mairie.neuvillesursaone.fr/;lvidaller@grandlyon.com
mairie;S1394;Mairie d'Oullins;https://www.oullins.fr/vie-municipale/services-municipaux-243/hotel-de-ville-4115.html?cHash=9beb29e95ec0026674fab6b1eac8666e;lvidaller@grandlyon.com
mairie;S1395;Mairie de Pierre-Bénite;https://www.pierrebenite.fr/contact/;lvidaller@grandlyon.com
mairie;S1396;Mairie de Poleymieux-au-Mont-d'Or;https://www.poleymieux.fr/le-village/associations/;lvidaller@grandlyon.com
mairie;S1397;Mairie de Rillieux-La-Pape;https://www.rillieuxlapape.fr/ville/mairie/horaires-et-contacts-1/maire-horaires;lvidaller@grandlyon.com
mairie;S1398;Mairie de Rochetaillée-sur-Saône;https://www.rochetaillee-sur-saone.fr/vie-citoyenne/votre-mairie/coordonnees-et-horaires;lvidaller@grandlyon.com
mairie;S1399;Mairie de Saint-Cyr-au-Mont-d'Or;https://www.stcyraumontdor.fr/;lvidaller@grandlyon.com
mairie;S1400;Mairie de Saint-Didier-au-Mont-d'Or;https://saintdidieraumontdor.fr/contacter-la-mairie/;lvidaller@grandlyon.com
mairie;S1401;Mairie de Saint-Fons;https://www.saint-fons.fr/;lvidaller@grandlyon.com
mairie;S1403;Mairie de Saint-Genis-Laval;https://www.saintgenislaval.fr/16-contact.htm;lvidaller@grandlyon.com
mairie;S1404;Mairie de Saint-Genis-les-Ollières;;
mairie;S1405;Mairie de Saint-Germain-au-Mont-d'Or;;
mairie;S1406;Mairie de Saint-Priest;;
mairie;S1407;Mairie de Saint-Romain-au-Mont-d'Or;;
mairie;S1408;Mairie de Sathonay-Camp;;
mairie;S1410;Mairie de Sainte-Foy-les-Lyon;;
mairie;S1415;Mairie de Sathonay-Village;;
mairie;S1416;Mairie de Solaize;;
mairie;S1421;Hôtel de Ville de Vaulx-en-Velin;;
mairie;S1423;Mairie de quartier - Moulin à Vent;;
mairie;S1429;Hôtel de Ville de Villeurbanne;;
mairie;S1431;Hôtel de Ville de Lyon;;
mairie;S1433;Mairie de Lyon 1;https://mairie1.lyon.fr/lieu/mairies/mairie-du-1er-arrondissement;lvidaller@grandlyon.com
mairie;S1434;Mairie de Lyon 2;https://www.lyon.fr/lieu/mairies/mairie-du-2e-arrondissement;lvidaller@grandlyon.com
mairie;S1435;Mairie de Lyon 3;https://mairie3.lyon.fr/lieu/mairies/mairie-du-3e-arrondissement;lvidaller@grandlyon.com
mairie;S1436;Mairie de Lyon 4;https://www.lyon.fr/lieu/mairies/mairie-du-4e-arrondissement;lvidaller@grandlyon.com
mairie;S1437;Mairie de Lyon 5;https://mairie5.lyon.fr/lieu/mairies/mairie-du-5e-arrondissement;lvidaller@grandlyon.com
mairie;S1438;Mairie de Lyon 6;https://mairie6.lyon.fr/lieu/mairies/mairie-du-6e-arrondissement;lvidaller@grandlyon.com
mairie;S1442;Mairie de Lyon 7;https://mairie7.lyon.fr/lieu/mairies/mairie-du-7e-arrondissement;lvidaller@grandlyon.com
mairie;S1444;Mairie de Lyon 8;;
mairie;S1445;Mairie de Lyon 9;;
mairie;S3348;Mairie de Limonest;;
mairie;S4007;Mairie Annexe de Décines Charpieu;;
mairie;S4916;Mairie de Vernaison;;
mairie;S4959;Mairie de Charly;;
mairie;S5030;Mairie de Givors;;
mairie;S5052;Mairie de Grigny;;
mairie;S5446;Mairie de Lissieu;;
mairie;S5546;Mairie de Tassin-la-Demi-Lune;;
mairie;S5564;Hôtel de Ville de Vénissieux;;
mairie;S5713;Mairie de Quincieux;;
mairie;S7411;Mairie Annexe de Lyon 5;;
mairie;S7861;Mairie du 9ème - annexe Duchère;;
mairie;S7988;Mairie Annexe Sud de Vaulx-en-Velin;;
mairie;S8049;Espace Roger Pestourie;;
bibliothèque;S7762;Médiathèque François Mitterrand;http://www.bm-saint-priest.fr;bdaniau@grandlyon.com
bibliothèque;S7763;Médiathèque de Vernaison;https://mediatheque.vernaison.fr/;bdaniau@grandlyon.com
bibliothèque;S7764;Bibliothèque de Charly;http://www.mairie-charly.fr/-Bibliotheque-municipale;bdaniau@grandlyon.com
bibliothèque;S7766;Médiathèque de Vaise - Marceline Desbordes Valmore;https://www.bm-lyon.fr/16-bibliotheques-et-un-bibliobus/mediatheque-de-vaise/;bdaniau@grandlyon.com
bibliothèque;S7767;Médiathèque Jacques Prévert;http://mediatheque.mions.fr/index/index/id_profil/81;bdaniau@grandlyon.com
bibliothèque;S7768;Médiathèque de Vénissieux Lucie Aubrac;https://bm-venissieux.fr/horaires-2-2/;bdaniau@grandlyon.com
bibliothèque;S7770;Médiathèque de Corbas;https://mediatheque.ville-corbas.fr/index/index/id_profil/11;bdaniau@grandlyon.com
bibliothèque;S7771;Médiathèque de Feyzin;https://mediatheque.ville-feyzin.fr/page/pratiquevenir;bdaniau@grandlyon.com
bibliothèque;S7772;Bibliothèque du 1er Arrondissement;https://www.bm-lyon.fr/16-bibliotheques-et-un-bibliobus/bibliotheque-du-1er/article/presentation-de-la-bibliotheque;bdaniau@grandlyon.com
bibliothèque;S7773;Médiathèque de Jonage;http://www.bibliotheque.jonage.fr/;bdaniau@grandlyon.com
bibliothèque;S7775;Médiathèque Iris;http://mediatheque.mairie-francheville69.fr/;bdaniau@grandlyon.com
bibliothèque;S7776;Bibliothèque du 4ème Arrondissement;https://www.bm-lyon.fr/16-bibliotheques-et-un-bibliobus/bibliotheque-du-4e-croix-rousse/;bdaniau@grandlyon.com
bibliothèque;S7777;Médiathèque de Dardilly;https://reseau-rebond.fr/dardilly;bdaniau@grandlyon.com
bibliothèque;S7778;Bibliothèque de Cailloux sur Fontaines;http://caillouxsf.opac3d.fr;bdaniau@grandlyon.com
bibliothèque;S7779;Bibliothèque du 5ème Saint-Jean;https://www.bm-lyon.fr/16-bibliotheques-et-un-bibliobus/bibliotheque-du-5e-saint-jean/;bdaniau@grandlyon.com
bibliothèque;S7780;Médiathèque de Charbonnières;http://mediatheque.charbonniereslesbains.com/;bdaniau@grandlyon.com
bibliothèque;S7781;Médiathèque l'Odyssée;http://mediathequeodyssee.mairie-craponne.fr/;bdaniau@grandlyon.com
bibliothèque;S7783;Bibliothèque du 9ème La Duchère;https://www.bm-lyon.fr/16-bibliotheques-et-un-bibliobus/bibliotheque-du-9e-la-duchere/;bdaniau@grandlyon.com
bibliothèque;S7784;Bibliothèque du 6ème Clémence Lortet;https://www.bm-lyon.fr/16-bibliotheques-et-un-bibliobus/bibliotheque-du-6e/;bdaniau@grandlyon.com
bibliothèque;S7785;Médiathèque d'Ecully;https://www.ecully.fr/culture/mediatheque/infos-pratiques-345.html;bdaniau@grandlyon.com
bibliothèque;S7786;Médiathèque de Solaize;https://mediatheque.mairie-solaize.fr/accueil/acces-horaires;bdaniau@grandlyon.com
